User_id:1847; order_num:842; Summ:50.000000; Date:2013-11-18 17:51:2
User_id:3; order_num:843; Summ:1.300000; Date:2013-11-18 17:51:48
User_id:2; order_num:847; Summ:1.000000; Date:2013-11-18 21:25:48
User_id:1698; order_num:856; Summ:100.000000; Date:2013-11-18 23:3:3
User_id:2049; order_num:887; Summ:80.000000; Date:2013-11-19 5:44:31
User_id:2000; order_num:895; Summ:5.000000; Date:2013-11-19 9:25:51
User_id:1964; order_num:899; Summ:30.000000; Date:2013-11-19 11:9:49
User_id:673; order_num:901; Summ:50.000000; Date:2013-11-19 12:2:26
User_id:2087; order_num:908; Summ:200.000000; Date:2013-11-19 18:59:2
User_id:1800; order_num:915; Summ:60.000000; Date:2013-11-20 1:38:10
User_id:2066; order_num:939; Summ:10.000000; Date:2013-11-20 23:38:41
User_id:1105; order_num:977; Summ:100.000000; Date:2013-11-22 20:35:34
User_id:2473; order_num:1072; Summ:42.000000; Date:2013-11-23 7:24:6
User_id:2475; order_num:1074; Summ:30.000000; Date:2013-11-23 7:34:45
User_id:2477; order_num:1078; Summ:100.000000; Date:2013-11-23 7:53:36
User_id:2470; order_num:1089; Summ:100.000000; Date:2013-11-23 9:13:10
User_id:2502; order_num:1092; Summ:120.000000; Date:2013-11-23 10:58:43
User_id:2515; order_num:1097; Summ:100.000000; Date:2013-11-23 13:30:32
User_id:2517; order_num:1098; Summ:35.000000; Date:2013-11-23 14:13:10
User_id:2540; order_num:1113; Summ:18.000000; Date:2013-11-23 23:45:32
User_id:2583; order_num:1126; Summ:150.000000; Date:2013-11-24 6:1:30
User_id:2591; order_num:1129; Summ:300.000000; Date:2013-11-24 6:27:16
User_id:2599; order_num:1135; Summ:32.000000; Date:2013-11-24 7:53:18
User_id:167; order_num:1142; Summ:30.000000; Date:2013-11-24 9:21:42
User_id:2690; order_num:1199; Summ:100.000000; Date:2013-11-24 18:35:10
User_id:3008; order_num:1445; Summ:300.000000; Date:2013-11-25 7:15:0
User_id:673; order_num:1464; Summ:50.000000; Date:2013-11-25 10:44:27
User_id:3074; order_num:1465; Summ:100.000000; Date:2013-11-25 13:28:1
User_id:3083; order_num:1466; Summ:25.000000; Date:2013-11-25 17:13:5
User_id:3185; order_num:1471; Summ:11.760000; Date:2013-11-26 6:20:43
User_id:485; order_num:1473; Summ:200.000000; Date:2013-11-26 9:39:44
User_id:3223; order_num:1474; Summ:50.000000; Date:2013-11-26 10:48:4
User_id:3183; order_num:1476; Summ:470.590000; Date:2013-11-26 18:28:15
User_id:3250; order_num:1477; Summ:30.000000; Date:2013-11-26 22:27:43
User_id:2; order_num:1478; Summ:280.000000; Date:2013-11-27 2:34:24
User_id:2610; order_num:1479; Summ:250.000000; Date:2013-11-27 3:5:48
User_id:3287; order_num:1480; Summ:50.000000; Date:2013-11-27 4:43:49
User_id:3288; order_num:1481; Summ:100.000000; Date:2013-11-27 5:40:4
User_id:3175; order_num:1495; Summ:180.000000; Date:2013-11-27 21:49:22
User_id:3373; order_num:1498; Summ:100.000000; Date:2013-11-28 10:14:18
User_id:3397; order_num:1502; Summ:50.000000; Date:2013-11-28 22:41:21
User_id:3487; order_num:1523; Summ:20.000000; Date:2013-11-30 23:43:31
User_id:3532; order_num:1546; Summ:120.000000; Date:2013-12-3 4:38:37
User_id:3597; order_num:1552; Summ:200.000000; Date:2013-12-3 23:1:32
User_id:3605; order_num:1554; Summ:35.290000; Date:2013-12-4 1:29:53
User_id:3639; order_num:1562; Summ:5.000000; Date:2013-12-5 2:9:16
User_id:3657; order_num:1574; Summ:35.000000; Date:2013-12-5 10:1:15
User_id:3688; order_num:1579; Summ:500.000000; Date:2013-12-6 20:25:34
User_id:3692; order_num:1584; Summ:300.000000; Date:2013-12-7 2:1:34
User_id:3597; order_num:1586; Summ:200.000000; Date:2013-12-7 12:13:57
User_id:3597; order_num:1590; Summ:200.000000; Date:2013-12-8 5:48:47
User_id:3597; order_num:1597; Summ:200.000000; Date:2013-12-9 6:40:40
User_id:3597; order_num:1598; Summ:60.000000; Date:2013-12-9 6:43:32
User_id:3785; order_num:1603; Summ:30.000000; Date:2013-12-9 23:55:36
User_id:3802; order_num:1607; Summ:13.000000; Date:2013-12-10 20:8:33
User_id:3797; order_num:1623; Summ:100.000000; Date:2013-12-12 20:13:14
User_id:3605; order_num:1624; Summ:10.000000; Date:2013-12-13 0:30:47
User_id:3287; order_num:1632; Summ:10.000000; Date:2013-12-14 9:0:56
User_id:4098; order_num:1655; Summ:250.000000; Date:2013-12-18 1:12:10
User_id:3605; order_num:1665; Summ:15.000000; Date:2013-12-18 17:16:30
User_id:4132; order_num:1668; Summ:236.000000; Date:2013-12-18 21:30:11
User_id:4156; order_num:1674; Summ:50.000000; Date:2013-12-19 16:10:18
User_id:4168; order_num:1681; Summ:100.000000; Date:2013-12-20 0:5:53
User_id:4168; order_num:1697; Summ:150.000000; Date:2013-12-21 11:3:53
